id,domain,portal_system,portal_subdomain,confidence,detection_method,validated,validation_website,error,timestamp,created_at,updated_at
131,wmdouglas.com,cincwebaxis,wdm.cincwebaxis.com,high,homepage_fetch,0,,,2026-02-01T20:55:22.051962,2026-02-13 07:00:10,2026-02-13 07:00:10
132,rentersplace.com,rentvine,rentersplace.rentvine.com,high,homepage_fetch,0,,,2026-02-01T20:55:27.481101,2026-02-13 07:00:10,2026-02-13 07:00:10
133,propertymanagementportlandor.com,buildium,sleepsoundpm.managebuilding.com,high,homepage_fetch,0,,,2026-02-01T20:55:28.079795,2026-02-13 07:00:10,2026-02-13 07:00:10
134,realpmsolutions.com,appfolio,rpmor005.appfolio.com,high,secondary_page:/tenants/,1,http://www.realpmsolutions.com,,2026-02-01T20:55:31.664258,2026-02-13 07:00:10,2026-02-13 07:00:10
135,uptownpm.com,appfolio,uptownproperties.appfolio.com,high,homepage_fetch,1,http://www.uptownpm.com,,2026-02-01T20:55:37.494144,2026-02-13 07:00:10,2026-02-13 07:00:10
137,ottermanagement.com,appfolio,ottermanagement.appfolio.com,high,subdomain_probe,1,https://ottermanagement.com,,2026-02-01T20:55:40.413055,2026-02-13 07:00:10,2026-02-13 07:00:10
138,mbvacationhomerentals.com,happystays,mbvacationhomerentals.happystays.com,high,homepage_fetch,0,,,2026-02-01T20:56:34.747413,2026-02-13 07:00:10,2026-02-13 07:00:10
139,specializedpropertymanagementdallas.com,propertyware,app.propertyware.com,high,secondary_page:/owners/,0,,,2026-02-01T20:56:38.399431,2026-02-13 07:00:10,2026-02-13 07:00:10
140,peaceofmind.co,appfolio,peaceofmind.appfolio.com,low,homepage_fetch,0,,,2026-02-01T20:56:47.936621,2026-02-13 07:00:10,2026-02-13 07:00:10
141,redwagonproperties.com,buildium,redwagonproperties.managebuilding.com,high,homepage_fetch,0,,,2026-02-01T20:56:51.244528,2026-02-13 07:00:10,2026-02-13 07:00:10
143,pineapplepropertygroup.com,buildium,pineapple.managebuilding.com,high,homepage_fetch,0,,,2026-02-01T20:57:35.116232,2026-02-13 07:00:10,2026-02-13 07:00:10
144,reederproperties.com,appfolio,reederproperties.appfolio.com,high,subdomain_probe,1,http://www.reederproperties.com,,2026-02-01T20:57:37.004434,2026-02-13 07:00:10,2026-02-13 07:00:10
145,thejosephgroup.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-01T20:58:34.707467,2026-02-13 07:00:10,2026-02-13 07:00:10
146,mapleleafmgt.com,appfolio,mapleleafmanagement.appfolio.com,high,homepage_fetch,1,http://www.mapleleafmgt.com,,2026-02-01T20:58:36.658380,2026-02-13 07:00:10,2026-02-13 07:00:10
147,propertymanagersseattle.com,appfolio,sja.appfolio.com,low,homepage_fetch,0,,,2026-02-01T20:58:36.404004,2026-02-13 07:00:10,2026-02-13 07:00:10
149,meridianpropertymanagement.com,appfolio,meridianprop.appfolio.com,high,homepage_fetch,1,http://www.meridianpropertymanagement.com,,2026-02-01T20:58:48.573294,2026-02-13 07:00:10,2026-02-13 07:00:10
150,orangecountypropertymanagement.com,appfolio,orangecountypm.appfolio.com,high,homepage_fetch,1,http://www.orangecountypropertymanagement.com,,2026-02-01T20:59:21.501603,2026-02-13 07:00:10,2026-02-13 07:00:10
151,midsouthbestrentals.com,tenant_turner,,high,link_redirect:direct_link:view listings,0,,,2026-02-01T20:58:55.044220,2026-02-13 07:00:10,2026-02-13 07:00:10
153,mesaproperties.net,appfolio,laverne.appfolio.com,high,homepage_fetch,1,http://www.mesaproperties.net,,2026-02-01T21:00:13.731167,2026-02-13 07:00:10,2026-02-13 07:00:10
154,realmanage.com,propertyware,realmanage.propertyware.com,medium,subdomain_probe,0,,,2026-02-01T20:58:47.928360,2026-02-13 07:00:10,2026-02-13 07:00:10
155,wsr.net,appfolio,wsr.appfolio.com,high,subdomain_probe,1,http://wsr.net,,2026-02-01T21:00:17.355364,2026-02-13 07:00:10,2026-02-13 07:00:10
156,nadlanmanagement.com,appfolio,nadlanmgmt.appfolio.com,high,homepage_fetch,1,http://www.nadlanmanagement.com,,2026-02-01T21:01:38.332695,2026-02-13 07:00:10,2026-02-13 07:00:10
157,orlando-propertymanagement.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-01T21:01:42.565017,2026-02-13 07:00:10,2026-02-13 07:00:10
